============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 10000 layouts
Elite size: 2000 (20.0%)
Tournament size: 5
Mutation rate: 0.15

Gen   1/150 | Best:  1,375,854.6 | Avg:  2,361,680.5
Gen  31/150 | Best:    886,071.3 | Avg:  1,051,989.0
Gen  32/150 | Best:    878,381.6 | Avg:  1,043,970.5
Gen  33/150 | Best:    878,381.6 | Avg:  1,036,098.7
Gen  34/150 | Best:    878,381.6 | Avg:  1,041,458.4
Gen  35/150 | Best:    872,748.3 | Avg:  1,046,367.1
Gen  36/150 | Best:    868,189.8 | Avg:  1,069,630.3
Gen  37/150 | Best:    867,005.8 | Avg:  1,073,216.4
Gen  38/150 | Best:    865,173.8 | Avg:  1,078,900.3
Gen  39/150 | Best:    862,140.7 | Avg:  1,085,539.4
Gen  40/150 | Best:    855,969.1 | Avg:  1,071,861.9
Gen  41/150 | Best:    855,969.1 | Avg:  1,065,618.8
Gen  42/150 | Best:    855,969.1 | Avg:  1,040,737.6
Gen  43/150 | Best:    852,243.7 | Avg:    986,566.5
Gen  44/150 | Best:    852,243.7 | Avg:    934,920.3
Gen  45/150 | Best:    846,794.2 | Avg:    921,224.3
Gen  46/150 | Best:    846,244.5 | Avg:    925,399.1
Gen  47/150 | Best:    839,564.9 | Avg:    938,729.3
Gen  48/150 | Best:    835,580.3 | Avg:    951,961.1
Gen  49/150 | Best:    835,081.1 | Avg:    941,719.8
Gen  50/150 | Best:    831,858.6 | Avg:    923,282.4
Gen  51/150 | Best:    829,643.8 | Avg:    908,052.0
Gen  52/150 | Best:    812,190.6 | Avg:    883,428.9
Gen  53/150 | Best:    812,190.6 | Avg:    874,832.2
Gen  54/150 | Best:    812,190.6 | Avg:    864,041.9
Gen  55/150 | Best:    811,078.7 | Avg:    859,483.6
Gen  56/150 | Best:    809,437.0 | Avg:    854,359.0
Gen  57/150 | Best:    809,437.0 | Avg:    852,562.7
Gen  58/150 | Best:    809,437.0 | Avg:    849,864.5
Gen  59/150 | Best:    801,595.9 | Avg:    860,429.8
Gen  60/150 | Best:    801,595.9 | Avg:    871,171.4
Gen  61/150 | Best:    801,595.9 | Avg:    889,447.1
Gen  62/150 | Best:    801,595.9 | Avg:    899,199.3
Gen  63/150 | Best:    801,595.9 | Avg:    921,792.8
Gen  64/150 | Best:    799,335.2 | Avg:    946,253.6
Gen  65/150 | Best:    797,641.0 | Avg:    961,210.6
Gen  66/150 | Best:    793,854.0 | Avg:    935,406.3
Gen  67/150 | Best:    790,046.9 | Avg:    897,054.6
Gen  68/150 | Best:    790,046.9 | Avg:    845,522.9
Gen  69/150 | Best:    790,046.9 | Avg:    818,269.1
Gen  70/150 | Best:    787,756.3 | Avg:    819,915.9
Gen  71/150 | Best:    785,262.7 | Avg:    821,711.8
Gen  72/150 | Best:    783,959.4 | Avg:    824,667.2
Gen  73/150 | Best:    783,959.4 | Avg:    816,573.7
Gen  74/150 | Best:    783,959.4 | Avg:    808,972.2
Gen  75/150 | Best:    780,544.2 | Avg:    809,500.2
Gen  76/150 | Best:    780,544.2 | Avg:    811,530.2
Gen  77/150 | Best:    780,544.2 | Avg:    811,004.4
Gen  78/150 | Best:    778,986.6 | Avg:    810,739.4
Gen  79/150 | Best:    778,986.6 | Avg:    810,367.9
Gen  80/150 | Best:    778,076.3 | Avg:    816,440.2
Gen  81/150 | Best:    778,076.3 | Avg:    819,689.4
Gen  82/150 | Best:    777,709.9 | Avg:    813,431.0
Gen  83/150 | Best:    777,556.6 | Avg:    804,776.3
Gen  84/150 | Best:    777,556.6 | Avg:    815,364.5
Gen  85/150 | Best:    776,844.9 | Avg:    818,857.6
Gen  86/150 | Best:    776,844.9 | Avg:    827,397.9
Gen  87/150 | Best:    776,326.3 | Avg:    853,673.7
Gen  88/150 | Best:    776,326.3 | Avg:    852,874.5
Gen  89/150 | Best:    776,326.3 | Avg:    824,224.1
Gen  90/150 | Best:    776,326.3 | Avg:    818,393.3
Gen  91/150 | Best:    776,326.3 | Avg:    812,759.8
Gen  92/150 | Best:    776,326.3 | Avg:    824,180.3
Gen  93/150 | Best:    776,326.3 | Avg:    840,500.0
Gen  94/150 | Best:    776,326.3 | Avg:    840,304.9
Gen  95/150 | Best:    776,326.3 | Avg:    804,571.7
Gen  96/150 | Best:    776,326.3 | Avg:    792,664.2
Gen  97/150 | Best:    776,326.3 | Avg:    792,982.2
Gen  98/150 | Best:    776,326.3 | Avg:    791,615.9
Gen  99/150 | Best:    776,326.3 | Avg:    792,596.3
Gen 100/150 | Best:    776,326.3 | Avg:    793,020.3
Gen 101/150 | Best:    776,326.3 | Avg:    792,658.0
Gen 102/150 | Best:    776,326.3 | Avg:    791,966.6
Gen 103/150 | Best:    776,326.3 | Avg:    793,239.6
Gen 104/150 | Best:    776,326.3 | Avg:    791,761.2
Gen 105/150 | Best:    776,326.3 | Avg:    793,051.2
Gen 106/150 | Best:    776,326.3 | Avg:    792,420.8
Gen 107/150 | Best:    776,326.3 | Avg:    793,129.3
Gen 108/150 | Best:    776,326.3 | Avg:    793,717.0
Gen 109/150 | Best:    776,326.3 | Avg:    792,750.8
Gen 110/150 | Best:    776,326.3 | Avg:    791,795.8
Gen 111/150 | Best:    776,326.3 | Avg:    791,767.5
Gen 112/150 | Best:    776,326.3 | Avg:    791,432.3
Gen 113/150 | Best:    776,326.3 | Avg:    792,268.7
Gen 114/150 | Best:    776,326.3 | Avg:    795,187.1
Gen 115/150 | Best:    776,326.3 | Avg:    792,498.6
Gen 116/150 | Best:    776,326.3 | Avg:    792,767.6
Gen 117/150 | Best:    776,326.3 | Avg:    792,073.0
Gen 118/150 | Best:    776,326.3 | Avg:    793,788.8
Gen 119/150 | Best:    776,326.3 | Avg:    792,421.0
Gen 120/150 | Best:    776,326.3 | Avg:    792,308.9
Gen 121/150 | Best:    776,326.3 | Avg:    793,870.0
Gen 122/150 | Best:    776,326.3 | Avg:    792,783.9
Gen 123/150 | Best:    776,326.3 | Avg:    794,002.9
Gen 124/150 | Best:    776,326.3 | Avg:    793,562.2
Gen 125/150 | Best:    776,326.3 | Avg:    792,787.6
Gen 126/150 | Best:    776,326.3 | Avg:    793,576.7
Gen 127/150 | Best:    776,326.3 | Avg:    792,246.8
Gen 128/150 | Best:    776,326.3 | Avg:    792,799.5
Gen 129/150 | Best:    776,326.3 | Avg:    792,702.1
Gen 130/150 | Best:    776,326.3 | Avg:    793,542.8
Gen 131/150 | Best:    776,326.3 | Avg:    792,633.3
Gen 132/150 | Best:    776,326.3 | Avg:    791,985.5
Gen 133/150 | Best:    776,326.3 | Avg:    792,478.9
Gen 134/150 | Best:    776,326.3 | Avg:    792,324.8
Gen 135/150 | Best:    776,326.3 | Avg:    791,799.4
Gen 136/150 | Best:    776,326.3 | Avg:    792,376.6
Gen 137/150 | Best:    776,326.3 | Avg:    792,392.5
Gen 138/150 | Best:    776,326.3 | Avg:    793,930.7
Gen 139/150 | Best:    776,326.3 | Avg:    792,024.4
Gen 140/150 | Best:    776,326.3 | Avg:    792,750.3
Gen 141/150 | Best:    776,326.3 | Avg:    792,461.4
Gen 142/150 | Best:    776,326.3 | Avg:    792,540.5
Gen 143/150 | Best:    776,326.3 | Avg:    791,785.6
Gen 144/150 | Best:    776,326.3 | Avg:    792,772.3
Gen 145/150 | Best:    776,326.3 | Avg:    792,614.9
Gen 146/150 | Best:    776,326.3 | Avg:    793,354.1
Gen 147/150 | Best:    776,326.3 | Avg:    793,472.3
Gen 148/150 | Best:    776,326.3 | Avg:    792,775.0
Gen 149/150 | Best:    776,326.3 | Avg:    791,901.0
Gen 150/150 | Best:    776,326.3 | Avg:    793,056.7

============================================================
EVOLUTION COMPLETE
============================================================


QWERTY Fitness: 1,821,199.8

QWERTY:
   q  w  e  r  t  y  u  i  o  p
   a  s  d  f  g  h  j  k  l  ;
   z  x  c  v  b  n  m  ,  .  '

DVORAK Fitness: 1,433,882.9

DVORAK:
   '  ,  .  p  y  f  g  c  r  l
   a  o  e  u  i  d  h  t  n  s
   ;  q  j  k  x  b  m  w  v  z

QWERTZ Fitness: 1,877,982.0

QWERTZ:
   q  w  e  r  t  z  u  i  o  p
   a  s  d  f  g  h  j  k  l  ;
   y  x  c  v  b  n  m  ,  .  '

COLEMAK Fitness: 1,368,940.0

COLEMAK:
   q  w  f  p  g  j  l  u  y  ;
   a  r  s  t  d  h  n  e  i  o
   z  x  c  v  b  k  m  ,  .  '


Best Evolved Fitness: 776,326.3
Improvement vs QWERTY: 57.37%
Improvement vs DVORAK: 45.86%
Improvement vs QWERTZ: 58.66%
Improvement vs COLEMAK: 43.29%

Layout representation:
['x', 'k', 'g', 't', 'i', 'h', 'c', 'w', '.', 'z', ',', 'd', 'e', 'a', 'o', 'n', 's', 'r', 'f', 'v', "'", ';', 'y', 'p', 'u', 'l', 'm', 'b', 'q', 'j']

OPTIMIZED LAYOUT:
   x  k  g  t  i  h  c  w  .  z
   ,  d  e  a  o  n  s  r  f  v
   '  ;  y  p  u  l  m  b  q  j

============================================================
DATOS PARA LATEX
============================================================

% Generación y Best Fitness
% coordinates {(gen, fitness)}

(1, 1375854.6)
(2, 1318641.0)
(3, 1215677.8)
(4, 1215677.8)
(5, 1215677.8)
(6, 1177916.8)
(7, 1153277.1)
(8, 1131927.4)
(9, 1118335.6)
(10, 1094734.2)
(11, 1071665.8)
(12, 1008002.2)
(13, 1008002.2)
(14, 1008002.2)
(15, 988661.4)
(16, 968111.3)
(17, 961953.9)
(18, 956492.9)
(19, 956492.9)
(20, 956492.9)
(21, 956492.9)
(22, 952153.9)
(23, 944310.6)
(24, 931030.2)
(25, 925983.1)
(26, 924908.5)
(27, 921076.0)
(28, 890077.8)
(29, 890077.8)
(30, 890077.8)
(31, 886071.3)
(32, 878381.6)
(33, 878381.6)
(34, 878381.6)
(35, 872748.3)
(36, 868189.8)
(37, 867005.8)
(38, 865173.8)
(39, 862140.7)
(40, 855969.1)
(41, 855969.1)
(42, 855969.1)
(43, 852243.7)
(44, 852243.7)
(45, 846794.2)
(46, 846244.5)
(47, 839564.9)
(48, 835580.3)
(49, 835081.1)
(50, 831858.6)
(51, 829643.8)
(52, 812190.6)
(53, 812190.6)
(54, 812190.6)
(55, 811078.7)
(56, 809437.0)
(57, 809437.0)
(58, 809437.0)
(59, 801595.9)
(60, 801595.9)
(61, 801595.9)
(62, 801595.9)
(63, 801595.9)
(64, 799335.2)
(65, 797641.0)
(66, 793854.0)
(67, 790046.9)
(68, 790046.9)
(69, 790046.9)
(70, 787756.3)
(71, 785262.7)
(72, 783959.4)
(73, 783959.4)
(74, 783959.4)
(75, 780544.2)
(76, 780544.2)
(77, 780544.2)
(78, 778986.6)
(79, 778986.6)
(80, 778076.3)
(81, 778076.3)
(82, 777709.9)
(83, 777556.6)
(84, 777556.6)
(85, 776844.9)
(86, 776844.9)
(87, 776326.3)
(88, 776326.3)
(89, 776326.3)
(90, 776326.3)
(91, 776326.3)
(92, 776326.3)
(93, 776326.3)
(94, 776326.3)
(95, 776326.3)
(96, 776326.3)
(97, 776326.3)
(98, 776326.3)
(99, 776326.3)
(100, 776326.3)
(101, 776326.3)
(102, 776326.3)
(103, 776326.3)
(104, 776326.3)
(105, 776326.3)
(106, 776326.3)
(107, 776326.3)
(108, 776326.3)
(109, 776326.3)
(110, 776326.3)
(111, 776326.3)
(112, 776326.3)
(113, 776326.3)
(114, 776326.3)
(115, 776326.3)
(116, 776326.3)
(117, 776326.3)
(118, 776326.3)
(119, 776326.3)
(120, 776326.3)
(121, 776326.3)
(122, 776326.3)
(123, 776326.3)
(124, 776326.3)
(125, 776326.3)
(126, 776326.3)
(127, 776326.3)
(128, 776326.3)
(129, 776326.3)
(130, 776326.3)
(131, 776326.3)
(132, 776326.3)
(133, 776326.3)
(134, 776326.3)
(135, 776326.3)
(136, 776326.3)
(137, 776326.3)
(138, 776326.3)
(139, 776326.3)
(140, 776326.3)
(141, 776326.3)
(142, 776326.3)
(143, 776326.3)
(144, 776326.3)
(145, 776326.3)
(146, 776326.3)
(147, 776326.3)
(148, 776326.3)
(149, 776326.3)
(150, 776326.3)

============================================================

Time consumed: 583.86s
