============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 100000 layouts
Elite size: 15000 (15.0%)
Tournament size: 5
Mutation rate: 0.3

Gen   1/150 | Best:  1,265,602.1 | Avg:  2,359,067.8
Gen 100/150 | Best:    789,764.3 | Avg:    823,729.8
Gen 101/150 | Best:    789,764.3 | Avg:    823,711.8
Gen 102/150 | Best:    789,764.3 | Avg:    823,525.5
Gen 103/150 | Best:    789,764.3 | Avg:    823,742.7
Gen 104/150 | Best:    789,764.3 | Avg:    823,047.9
Gen 105/150 | Best:    789,764.3 | Avg:    823,813.9
Gen 106/150 | Best:    789,764.3 | Avg:    823,416.9
Gen 107/150 | Best:    789,764.3 | Avg:    823,457.0
Gen 108/150 | Best:    789,764.3 | Avg:    823,632.9
Gen 109/150 | Best:    789,764.3 | Avg:    823,698.1
Gen 110/150 | Best:    789,764.3 | Avg:    823,475.5
Gen 111/150 | Best:    789,764.3 | Avg:    824,139.1
Gen 112/150 | Best:    789,764.3 | Avg:    824,085.2
Gen 113/150 | Best:    789,764.3 | Avg:    823,717.2
Gen 114/150 | Best:    789,764.3 | Avg:    823,863.9
Gen 115/150 | Best:    789,764.3 | Avg:    823,843.0
Gen 116/150 | Best:    789,764.3 | Avg:    823,870.2
Gen 117/150 | Best:    789,764.3 | Avg:    823,934.7
Gen 118/150 | Best:    789,764.3 | Avg:    823,691.5
Gen 119/150 | Best:    789,764.3 | Avg:    823,804.8
Gen 120/150 | Best:    789,764.3 | Avg:    823,478.9
Gen 121/150 | Best:    789,764.3 | Avg:    823,787.6
Gen 122/150 | Best:    789,764.3 | Avg:    823,761.0
Gen 123/150 | Best:    789,764.3 | Avg:    823,268.3
Gen 124/150 | Best:    789,764.3 | Avg:    823,902.5
Gen 125/150 | Best:    789,764.3 | Avg:    824,196.0
Gen 126/150 | Best:    789,764.3 | Avg:    823,564.5
Gen 127/150 | Best:    789,764.3 | Avg:    824,129.6
Gen 128/150 | Best:    789,764.3 | Avg:    823,811.6
Gen 129/150 | Best:    789,764.3 | Avg:    823,816.7
Gen 130/150 | Best:    789,764.3 | Avg:    824,511.5
Gen 131/150 | Best:    789,764.3 | Avg:    824,490.2
Gen 132/150 | Best:    789,764.3 | Avg:    823,715.1
Gen 133/150 | Best:    789,764.3 | Avg:    823,167.2
Gen 134/150 | Best:    789,764.3 | Avg:    823,671.7
Gen 135/150 | Best:    789,764.3 | Avg:    823,585.7
Gen 136/150 | Best:    789,764.3 | Avg:    823,546.8
Gen 137/150 | Best:    789,764.3 | Avg:    823,704.9
Gen 138/150 | Best:    789,764.3 | Avg:    823,940.8
Gen 139/150 | Best:    789,764.3 | Avg:    823,590.3
Gen 140/150 | Best:    789,764.3 | Avg:    823,652.8
Gen 141/150 | Best:    789,764.3 | Avg:    823,466.7
Gen 142/150 | Best:    789,764.3 | Avg:    823,559.8
Gen 143/150 | Best:    789,764.3 | Avg:    823,948.6
Gen 144/150 | Best:    789,764.3 | Avg:    823,858.7
Gen 145/150 | Best:    789,764.3 | Avg:    823,628.7
Gen 146/150 | Best:    789,764.3 | Avg:    823,629.6
Gen 147/150 | Best:    789,764.3 | Avg:    823,378.7
Gen 148/150 | Best:    789,764.3 | Avg:    824,176.2
Gen 149/150 | Best:    789,764.3 | Avg:    823,570.4
Gen 150/150 | Best:    789,764.3 | Avg:    823,614.7

============================================================
EVOLUTION COMPLETE
============================================================


QWERTY Fitness: 1,821,199.8

QWERTY:
   q  w  e  r  t  y  u  i  o  p
   a  s  d  f  g  h  j  k  l  ;
   z  x  c  v  b  n  m  ,  .  '

DVORAK Fitness: 1,433,882.9

DVORAK:
   '  ,  .  p  y  f  g  c  r  l
   a  o  e  u  i  d  h  t  n  s
   ;  q  j  k  x  b  m  w  v  z

QWERTZ Fitness: 1,877,982.0

QWERTZ:
   q  w  e  r  t  z  u  i  o  p
   a  s  d  f  g  h  j  k  l  ;
   y  x  c  v  b  n  m  ,  .  '

COLEMAK Fitness: 1,368,940.0

COLEMAK:
   q  w  f  p  g  j  l  u  y  ;
   a  r  s  t  d  h  n  e  i  o
   z  x  c  v  b  k  m  ,  .  '


Best Evolved Fitness: 789,764.3
Improvement vs QWERTY: 56.63%
Improvement vs DVORAK: 44.92%
Improvement vs QWERTZ: 57.95%
Improvement vs COLEMAK: 42.31%

Layout representation:
["'", ';', 'w', 't', ',', 'h', 's', 'c', 'k', 'x', '.', 'f', 'i', 'a', 'e', 'n', 'o', 'r', 'p', 'v', 'z', 'j', 'y', 'g', 'u', 'd', 'l', 'm', 'b', 'q']

OPTIMIZED LAYOUT:
   '  ;  w  t  ,  h  s  c  k  x
   .  f  i  a  e  n  o  r  p  v
   z  j  y  g  u  d  l  m  b  q

============================================================
DATOS PARA LATEX
============================================================

% Generación y Best Fitness
% coordinates {(gen, fitness)}

(1, 1265602.1)
(2, 1198083.0)
(3, 1198083.0)
(4, 1128195.4)
(5, 1128195.4)
(6, 1119189.8)
(7, 1094537.0)
(8, 1059442.1)
(9, 1058020.8)
(10, 1035323.4)
(11, 1026730.3)
(12, 1006007.2)
(13, 1006007.2)
(14, 1006007.2)
(15, 1006007.2)
(16, 988299.2)
(17, 988299.2)
(18, 988299.2)
(19, 988299.2)
(20, 983033.8)
(21, 974635.6)
(22, 886196.5)
(23, 886196.5)
(24, 886196.5)
(25, 886196.5)
(26, 886196.5)
(27, 886196.5)
(28, 886196.5)
(29, 886196.5)
(30, 886196.5)
(31, 886196.5)
(32, 886196.5)
(33, 886196.5)
(34, 886196.5)
(35, 886196.5)
(36, 883028.1)
(37, 883028.1)
(38, 883028.1)
(39, 883028.1)
(40, 861221.8)
(41, 861221.8)
(42, 861221.8)
(43, 861221.8)
(44, 861221.8)
(45, 861221.8)
(46, 861221.8)
(47, 860962.2)
(48, 860962.2)
(49, 860962.2)
(50, 859100.9)
(51, 847755.4)
(52, 843585.4)
(53, 843585.4)
(54, 838344.5)
(55, 838344.5)
(56, 834376.8)
(57, 822312.2)
(58, 822312.2)
(59, 822312.2)
(60, 822312.2)
(61, 822312.2)
(62, 822312.2)
(63, 822312.2)
(64, 816275.2)
(65, 811924.5)
(66, 809059.8)
(67, 809059.8)
(68, 801872.1)
(69, 801872.1)
(70, 801117.9)
(71, 795312.7)
(72, 795312.7)
(73, 794390.6)
(74, 792476.7)
(75, 792476.7)
(76, 792476.7)
(77, 792476.7)
(78, 792280.3)
(79, 790136.1)
(80, 789828.6)
(81, 789828.6)
(82, 789764.3)
(83, 789764.3)
(84, 789764.3)
(85, 789764.3)
(86, 789764.3)
(87, 789764.3)
(88, 789764.3)
(89, 789764.3)
(90, 789764.3)
(91, 789764.3)
(92, 789764.3)
(93, 789764.3)
(94, 789764.3)
(95, 789764.3)
(96, 789764.3)
(97, 789764.3)
(98, 789764.3)
(99, 789764.3)
(100, 789764.3)
(101, 789764.3)
(102, 789764.3)
(103, 789764.3)
(104, 789764.3)
(105, 789764.3)
(106, 789764.3)
(107, 789764.3)
(108, 789764.3)
(109, 789764.3)
(110, 789764.3)
(111, 789764.3)
(112, 789764.3)
(113, 789764.3)
(114, 789764.3)
(115, 789764.3)
(116, 789764.3)
(117, 789764.3)
(118, 789764.3)
(119, 789764.3)
(120, 789764.3)
(121, 789764.3)
(122, 789764.3)
(123, 789764.3)
(124, 789764.3)
(125, 789764.3)
(126, 789764.3)
(127, 789764.3)
(128, 789764.3)
(129, 789764.3)
(130, 789764.3)
(131, 789764.3)
(132, 789764.3)
(133, 789764.3)
(134, 789764.3)
(135, 789764.3)
(136, 789764.3)
(137, 789764.3)
(138, 789764.3)
(139, 789764.3)
(140, 789764.3)
(141, 789764.3)
(142, 789764.3)
(143, 789764.3)
(144, 789764.3)
(145, 789764.3)
(146, 789764.3)
(147, 789764.3)
(148, 789764.3)
(149, 789764.3)
(150, 789764.3)

============================================================

Time consumed: 5790.49s (01h36m30s)
